github_path,raw_url,sha,local_path,filename,section,last_synced_at,sitemap_lastmod
docs/User Guide/administer/global/saml_single_sign_on/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/saml_single_sign_on/index.md,4d5613f74ee6f4e81d8f92210337897273aa5be9,braze_user_guide_md/docs/User Guide/administer/global/saml_single_sign_on/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/saml_single_sign_on/microsoft_entra_sso/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/saml_single_sign_on/microsoft_entra_sso/index.md,0e43549089d0aa025e9a819c97597d33a5ee9b9a,braze_user_guide_md/docs/User Guide/administer/global/saml_single_sign_on/microsoft_entra_sso/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/saml_single_sign_on/okta/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/saml_single_sign_on/okta/index.md,8416ba5ace318f402f12b534e0b08d2b8f74b1c8,braze_user_guide_md/docs/User Guide/administer/global/saml_single_sign_on/okta/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/saml_single_sign_on/onelogin/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/saml_single_sign_on/onelogin/index.md,c296f2304a9b2eb3de02c5ee262c769aa1739ee3,braze_user_guide_md/docs/User Guide/administer/global/saml_single_sign_on/onelogin/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/saml_single_sign_on/saml_just_in_time_provisioning/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/saml_single_sign_on/saml_just_in_time_provisioning/index.md,8ce0c85bf11ed176d56e33ff47f3880806a4cbcf,braze_user_guide_md/docs/User Guide/administer/global/saml_single_sign_on/saml_just_in_time_provisioning/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/saml_single_sign_on/saml_sso_setup/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/saml_single_sign_on/saml_sso_setup/index.md,a62ec5b09c8038e9e5aeef0eae4ca6b9846b5253,braze_user_guide_md/docs/User Guide/administer/global/saml_single_sign_on/saml_sso_setup/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/user_management/automated_user_provisioning/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/user_management/automated_user_provisioning/index.md,9d28eb16482ce86657f7f54b531b577ac4e0657d,braze_user_guide_md/docs/User Guide/administer/global/user_management/automated_user_provisioning/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-13T20:34:18+00:00
docs/User Guide/administer/global/user_management/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/user_management/index.md,0ca25d9f959eb5715de3b999ea0b6810ad3ee213,braze_user_guide_md/docs/User Guide/administer/global/user_management/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/user_management/internal_groups/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/user_management/internal_groups/index.md,5fc727f12c7f4277574278293edf763444b3c7ef,braze_user_guide_md/docs/User Guide/administer/global/user_management/internal_groups/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-18T23:02:17+00:00
docs/User Guide/administer/global/user_management/manage_company_users/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/user_management/manage_company_users/index.md,caeaa50002344d18b5ad3bd9b2e84b3705718fac,braze_user_guide_md/docs/User Guide/administer/global/user_management/manage_company_users/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-27T21:23:47+00:00
docs/User Guide/administer/global/user_management/permissions/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/user_management/permissions/index.md,local-prepopulated-sha,braze_user_guide_md/docs/User Guide/administer/global/user_management/permissions/index.md,index.md,administer,2026-06-09T16:04:04.321Z,2026-06-02T17:04:40+00:00
docs/User Guide/administer/global/user_management/teams/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/user_management/teams/index.md,0ba4abeae3ede597a46255272babf3d20e962f0c,braze_user_guide_md/docs/User Guide/administer/global/user_management/teams/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-18T23:02:17+00:00
docs/User Guide/administer/global/workspace_settings/apis_and_identifiers/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/apis_and_identifiers/index.md,647ac4071ae159ebdae4b10f9d0358e1ef56d868,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/apis_and_identifiers/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/workspace_settings/brand_guidelines/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/brand_guidelines/index.md,f189568ec0591ad408d6f9f2c485c1ed0743b31e,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/brand_guidelines/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-26T19:02:29+00:00
docs/User Guide/administer/global/workspace_settings/email_preferences/bot_filtering/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/email_preferences/bot_filtering/index.md,a44db8467645fb07dabc941ea33eb562bc64756a,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/email_preferences/bot_filtering/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/workspace_settings/email_preferences/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/email_preferences/index.md,72c3ea8572282f96468da192905f08360a05e6f5,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/email_preferences/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-06-05T17:35:56+00:00
docs/User Guide/administer/global/workspace_settings/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/index.md,0ca25d9f959eb5715de3b999ea0b6810ad3ee213,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-04-03T19:01:21+00:00
docs/User Guide/administer/global/workspace_settings/logs_and_alerts/api_usage_alerts/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/logs_and_alerts/api_usage_alerts/index.md,4f924337e584f76785e45cdef7528dd043ed3b89,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/logs_and_alerts/api_usage_alerts/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-11T15:58:01+00:00
docs/User Guide/administer/global/workspace_settings/logs_and_alerts/event_user_log/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/logs_and_alerts/event_user_log/index.md,131b27ce5774d032b9a90d383f03fb6b25861805,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/logs_and_alerts/event_user_log/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/workspace_settings/logs_and_alerts/exports_log/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/logs_and_alerts/exports_log/index.md,edee9e830e8e9e997c73211ae9ac4a708089efec,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/logs_and_alerts/exports_log/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/workspace_settings/logs_and_alerts/message_activity_log/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/logs_and_alerts/message_activity_log/index.md,7ab8116811c94716c368c209c2ef0fc1bb407884,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/logs_and_alerts/message_activity_log/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/workspace_settings/messaging_rate_limits/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/messaging_rate_limits/index.md,30d00875888adb0842bdfea447a8c25439d713d1,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/messaging_rate_limits/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/workspace_settings/multi_language_settings/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/multi_language_settings/index.md,438d51b33741d9ff3fe29354bc6528fbca43839d,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/multi_language_settings/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-04-29T18:09:06+00:00
docs/User Guide/administer/global/workspace_settings/push_settings/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/push_settings/index.md,1e7eb94bd9b3fc2a589991dffce5bc7602f9f235,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/push_settings/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/workspace_settings/tags/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/workspace_settings/tags/index.md,06826dd8167bb3cd4a8592134f938fa2bb435ee4,braze_user_guide_md/docs/User Guide/administer/global/workspace_settings/tags/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-11T15:58:01+00:00
docs/User Guide/administer/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/index.md,5834413d6da0330ab46a5562fbbb024d94659bdb,braze_user_guide_md/docs/User Guide/administer/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-04-07T16:30:38+00:00
docs/User Guide/administer/personal/accessing_your_account/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/accessing_your_account/index.md,ca7a27c485aac338b3ebce8a4f3b9bbb980171eb,braze_user_guide_md/docs/User Guide/administer/personal/accessing_your_account/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-11T15:31:19+00:00
docs/User Guide/administer/personal/braze_certification/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/braze_certification/index.md,0ee0238eae86bb9c1238d098be6f039dd539630e,braze_user_guide_md/docs/User Guide/administer/personal/braze_certification/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-26T18:48:44+00:00
docs/User Guide/administer/personal/braze_support/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/braze_support/index.md,ce0b3ffeb38265a095192d3e77a18382123a4b55,braze_user_guide_md/docs/User Guide/administer/personal/braze_support/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-06-05T20:31:03+00:00
docs/User Guide/administer/personal/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/index.md,0ca25d9f959eb5715de3b999ea0b6810ad3ee213,braze_user_guide_md/docs/User Guide/administer/personal/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-26T18:48:44+00:00
docs/User Guide/administer/personal/language_settings/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/language_settings/index.md,b07dcbbd4eec957d6bce3f913882fcd42eb45fff,braze_user_guide_md/docs/User Guide/administer/personal/language_settings/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/personal/product_portal/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/product_portal/index.md,7ecfd008427459d81a61488d7e615506284ca49b,braze_user_guide_md/docs/User Guide/administer/personal/product_portal/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/personal/sdk_endpoints/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/sdk_endpoints/index.md,914650ca32ce6e6b442f064f97e84e85167b0663,braze_user_guide_md/docs/User Guide/administer/personal/sdk_endpoints/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/personal/the_braze_dashboard/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/personal/the_braze_dashboard/index.md,ceffeaa94f1d1a72825d6595c64d544821a2f350,braze_user_guide_md/docs/User Guide/administer/personal/the_braze_dashboard/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/dashboards/api_usage/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/api_usage/index.md,b52b788ab0cfdb15645e9904c2392cc84b35244e,braze_user_guide_md/docs/User Guide/analytics/dashboards/api_usage/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/dashboards/channel_performance/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/channel_performance/index.md,5047d49c7ad4e0810e8f3b7e39f6dc53c6518c6d,braze_user_guide_md/docs/User Guide/analytics/dashboards/channel_performance/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-26T19:35:49+00:00
docs/User Guide/analytics/dashboards/conversions/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/conversions/index.md,34e6f36182ee2f409ddc7e69a227e00b1a7ce97c,braze_user_guide_md/docs/User Guide/analytics/dashboards/conversions/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/dashboards/dashboard_builder/diagnostics_dashboard/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/dashboard_builder/diagnostics_dashboard/index.md,563e64cafe9b6f22da3b7a2dda5a89f9c0d4aa27,braze_user_guide_md/docs/User Guide/analytics/dashboards/dashboard_builder/diagnostics_dashboard/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-28T15:44:27+00:00
docs/User Guide/analytics/dashboards/dashboard_builder/ecommerce_revenue_dashboard/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/dashboard_builder/ecommerce_revenue_dashboard/index.md,2b69428eab52241e958261d4efecadbbf4741ba7,braze_user_guide_md/docs/User Guide/analytics/dashboards/dashboard_builder/ecommerce_revenue_dashboard/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-14T15:33:56+00:00
docs/User Guide/analytics/dashboards/dashboard_builder/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/dashboard_builder/index.md,cb1bf20d59d649f1af52e7c06a6bf78d1f7c2655,braze_user_guide_md/docs/User Guide/analytics/dashboards/dashboard_builder/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/dashboards/deliverability_center/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/deliverability_center/index.md,4e27d8f0a78b26346e8f977b34193ce9bf3dee66,braze_user_guide_md/docs/User Guide/analytics/dashboards/deliverability_center/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-18T23:02:17+00:00
docs/User Guide/analytics/dashboards/home/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/home/index.md,d5c646ed04c65af9b6fb3f33dbb9cea066802f9e,braze_user_guide_md/docs/User Guide/analytics/dashboards/home/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-06-05T14:41:48+00:00
docs/User Guide/analytics/dashboards/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/dashboards/index.md,71475c3f2379d0277a6df5e3ee7f659031b6fb64,braze_user_guide_md/docs/User Guide/analytics/dashboards/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/analytics/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/index.md,b398cdc6e15c2b7d34bf4fb5a0534b2fb32d1151,braze_user_guide_md/docs/User Guide/analytics/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-04-07T16:30:38+00:00
docs/User Guide/analytics/metrics_glossary/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/metrics_glossary/index.md,b8c197872d75095b66e5c98ffabe80f00f28ff24,braze_user_guide_md/docs/User Guide/analytics/metrics_glossary/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-20T17:37:14+00:00
docs/User Guide/analytics/reports/configure_reporting/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/configure_reporting/index.md,b9bffc70957d37abec2d05c55e46fd3d54de8609,braze_user_guide_md/docs/User Guide/analytics/reports/configure_reporting/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/analytics/reports/custom_events_report/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/custom_events_report/index.md,f6d2c58f8c5593ab5e7151f1e31ef5d9678f9494,braze_user_guide_md/docs/User Guide/analytics/reports/custom_events_report/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/engagement_reports/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/engagement_reports/index.md,e58ddccfa4fc2da53abd9079673fc5833ed53911,braze_user_guide_md/docs/User Guide/analytics/reports/engagement_reports/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/funnel_reports/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/funnel_reports/index.md,86eba2c651cee8d6a7a72d0bb0ea4688fb5a0407,braze_user_guide_md/docs/User Guide/analytics/reports/funnel_reports/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/index.md,bef0393b54599f76977455e0b04f4568c63a2dbc,braze_user_guide_md/docs/User Guide/analytics/reports/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/query_builder/building_queries/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/query_builder/building_queries/index.md,6acca63c36cad50f5ac837bcda12796777c999be,braze_user_guide_md/docs/User Guide/analytics/reports/query_builder/building_queries/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-04-23T19:17:19+00:00
docs/User Guide/analytics/reports/query_builder/data_by_segments/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/query_builder/data_by_segments/index.md,71830c0e7892df6a3a45311e421f0fc90ee1ce0e,braze_user_guide_md/docs/User Guide/analytics/reports/query_builder/data_by_segments/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/analytics/reports/query_builder/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/query_builder/index.md,267c29ec1c1b2211d46274e87c30dcd659755692,braze_user_guide_md/docs/User Guide/analytics/reports/query_builder/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/query_builder/query_templates/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/query_builder/query_templates/index.md,186700eafd4dc0a43ccd63be874f0c6c69c130ee,braze_user_guide_md/docs/User Guide/analytics/reports/query_builder/query_templates/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T19:30:58+00:00
docs/User Guide/analytics/reports/query_builder/sql_variables/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/query_builder/sql_variables/index.md,f799f5fd22cfdc06b263a6db666c1b3670335e1a,braze_user_guide_md/docs/User Guide/analytics/reports/query_builder/sql_variables/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/report_builder/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/report_builder/index.md,f4a4d3895d3326da33f9a7ab3c395f51859a9f83,braze_user_guide_md/docs/User Guide/analytics/reports/report_builder/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/analytics/reports/report_builder/report_builder_legacy/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/analytics/reports/report_builder/report_builder_legacy/index.md,2328d0059e350445e86915c189559b66c86457ea,braze_user_guide_md/docs/User Guide/analytics/reports/report_builder/report_builder_legacy/index.md,index.md,analytics,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
